"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T3A Extra Large","t3a.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.0986 hourly","$0.0621 hourly","$0.0327 hourly","$0.1722 hourly","$0.1357 hourly"
"C5 High-CPU Large","c5d.large","4.0 GiB","2 vCPUs","50 GB                 NVMe SSD","Up to 10 Gigabit","$0.0990 hourly","$0.0620 hourly","$0.0314 hourly","$0.1910 hourly","$0.1540 hourly"
"T2 Large","t2.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Low to Moderate","$0.0992 hourly","$0.0618 hourly","$0.0407 hourly","$0.1272 hourly","$0.0898 hourly"
"C4 High-CPU Large","c4.large","3.75 GiB","2 vCPUs","EBS only","Moderate","$0.1000 hourly","$0.0680 hourly","$0.0411 hourly","$0.1920 hourly","$0.1600 hourly"
"M7I-FLEX Large","m7i-flex.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1008 hourly","$0.0665 hourly","$0.0319 hourly","$0.1882 hourly","$0.1539 hourly"
"M6I Large","m6i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1010 hourly","$0.0667 hourly","$0.0401 hourly","$0.1930 hourly","$0.1587 hourly"
"M5 General Purpose Large","m5.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.1010 hourly","$0.0640 hourly","$0.0500 hourly","$0.1930 hourly","$0.1560 hourly"
"M6G Extra Large","m6g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1012 hourly","$0.0638 hourly","$0.0399 hourly","unavailable","unavailable"
"A1 Extra Large","a1.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1020 hourly","$0.0643 hourly","$0.0327 hourly","unavailable","unavailable"
"M4 General Purpose Large","m4.large","8.0 GiB","2 vCPUs","EBS only","Moderate","$0.1050 hourly","$0.0654 hourly","$0.0389 hourly","$0.1970 hourly","$0.1574 hourly"
"M7I Large","m7i.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1061 hourly","$0.0700 hourly","$0.0305 hourly","$0.1981 hourly","$0.1620 hourly"
"C5N Large","c5n.large","5.25 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1080 hourly","$0.0680 hourly","$0.0364 hourly","$0.2000 hourly","$0.1600 hourly"
"M5A Extra Large","m5a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.1110 hourly","$0.0700 hourly","$0.0508 hourly","$0.2950 hourly","$0.2540 hourly"
"M6A Extra Large","m6a.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.1111 hourly","$0.0734 hourly","$0.0551 hourly","$0.2951 hourly","$0.2574 hourly"
"C6IN Large","c6in.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.1134 hourly","$0.0714 hourly","$0.0357 hourly","$0.2054 hourly","$0.1634 hourly"
"C7GD Extra Large","c7gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.1152 hourly","$0.0726 hourly","$0.0378 hourly","unavailable","unavailable"
